Efecto del tamaño del caché,,
trace,total_miss,miss_rate
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,526,0.053%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,340,0.034%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,235,0.024%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,233,0.023%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,9561,0.956%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,17694,1.769%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18860,1.886%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,19963,1.996%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,78080,7.808%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,41006,4.101%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21639,2.164%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,11183,1.118%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,50241,5.024%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,27735,2.773%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,16065,1.607%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,11265,1.127%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,10959,1.096%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,10637,1.064%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,11729,1.173%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,12152,1.215%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,131010,13.101%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,137416,13.742%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107254,10.725%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,108355,10.835%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,75018,7.502%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,39729,3.973%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,13260,1.326%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,8764,0.876%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,5777,0.578%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4248,0.425%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,3542,0.354%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,16435,1.643%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,8270,0.827%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4344,0.434%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,13844,1.384%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,15830,1.583%
